Column-0,Column-1,Column-2
Company Name,Area in Bangalore,Phone
Sony India Pvt. Ltd. (Sony Information Systems Solutions Division),Residency Road,+91 080 56947000
Source Code International,Cunningham Road,"+91 080 2285452, +91 080 2285456"
Soutek Computer Services,Malleshwaram,"+91 080 23462689,+91 080 23342491"
South Star Data Consultants Pvt. Ltd.,Basavanagudi,+91 080 26670446
Souza Technology,Muthyalamma Nagar,+91 080 28383587
SPA Computers Ltd.,Indira Nagar,"+91 080 25265348, +91 080 25267981, +91 080 25268469"
Space Computers,Gayathri Nagar,+91 080 98450 79443
"Space2Let.Com Services Pvt. Ltd.,",Church Street,+91 080 51253901/02/03/04
Spacify Software (India) Pvt. Ltd.,Indiranagar,+91 80 25205008
Spacify Software (India) Pvt. Ltd.,Malleshwaram,+91 080 23344842
Span Systems Corporation,Guttahalli,"+91 080 26525013, +91 080 26529358, +91 080 26520165"
Sparket Marketing Pvt. Ltd.,Kumarakrupa Road,"+91 080 22258720 -22,+91080 22267591"
Sparkle Technology Pvt. Ltd.,Koramangala VIII Block,"+91 080 25701724,"
Sparr Electronics Ltd.,Mathikere,"+91 080 23602836, +91 080 23310836"
Sparrow Electronics (P) Ltd.,Koramangala Industrial Area,+91 080 25531568
Spatial Data Pvt. Ltd.,Indiranagar 1st Stage,"+91 080 25254306, 25253708"
Spatika Information Technology,Basaveshvaranagar,"+91 080 23481717, +91 080 23487425"
Spearheads Software Solutions,Mysore Road,+91 080 8484316
Spectec Systems,Viveknagar,+91 080 25713783
Spectra Computers,S.P.Road,"+91 080 22244242, +91 080 22998343"
Spectra Innovations Inc.,Dickenson Road,"+91 080 25588323, +91 080 25581426,+91 080 25321350,+91 080 25321917"
Spectratech Enterprises,Domlur Layout,+91 080 25359328
Spectrum Information & Technologies Pvt. Ltd.,Ebrahim Saheb Street,+91 080 25594250
Speedera Networks India ltd.,Koramangala,+91 080 57599222
Speedera Networks India Pvt. Ltd.,Koramangala Industrial Area,+91 80 57599222
Spice Telecom,Infantry Road,"+91 080 22098440/311, 9844098440"
SPM Information Solutios Pvt. Ltd.,Hanumanth Nagar,+91 080 6524724
Spoorthy Info Tech (P) Ltd.,Rajajinangar,+91 080 23372710
SPS Intrad (P) Ltd.,HAL III Stage,"+91 080 25255393, +91 080 25250790, +91 080 25286797"
"SPS Pvt. Ltd.,",Indiranagar,+91 080 25259962
"SPSS South Asia Pvt. Ltd.,",Vasanthnagar,+91 080 22206625
Spur Career Solutions Pvt. Ltd,Infantry Road,+91 080 25559922
SQA Technologies Pvt. Ltd.,Koramangala,"+91 080 51103900, +91 080 51103950"
Square One Business Solutions Pvt. Ltd.,Koramangala,+91 080 51217512
Squire Systems,Jayanagar,"+91 080 5150 6990, 91, 92"
SR Nova Pvt. Ltd.,K.R Road,+91 080 26707112/ 3
SRA India Pvt Ltd,Whitefield,+91 080 28416491/92
Sree Balaji IT Enabled Services Pvt Ltd,Jayamahal Extension,
Sreyah Novel Inc,Seshadripuram,+91 080 23443299
SRG Systems (P) Ltd.,Indiranagar,"+91 080 25290725, +91 080 51155985"
Sri Aurobindo Consultancy,Jayanagar IX Block,"+91 080 26558405, 98450 32739"
Sri Computers,R.T.Nagar,+91 080 23632843
Sri Durga Computech Pvt Ltd,Jayanagar,+91 080 26639956-65/67
Sri Durga Enterprises,Basavanagudi,
Sri Info Systems,Indiranagar,"+91 080 25251428, +91 080 25274070"
Sri Marketing Services,M G Road,+91 080 25598297
Sri Pranav Technologies Pvt. Ltd.,Basavanagudi,+91 080 26571093
Sri Vasavi Enterprises,Rajajinagar,+91 080 23329854
Srishti Softech Pvt. Ltd.,Jayanagar,+91 080 26764701/5024
"Srishti Software Pvt. Ltd.,",HSR Layout,+91 080 51109060/61/62/63
Sritronix,Ganganagar Extension,+91 080 23534450
SRM Infotech Limited,Malleshwaram,+91 080 23319222
SRV Telecom Pvt. Ltd.,Rajajinagar,"+91 080 23400663,+91 080 23400712"
SSS Phoenix,"Jayanagar,",+91 80 26537211
SST Kernel Ltd.,KH Road,"+91 080 2245181,+91 080 2993618"
"Stag Software Pvt. Ltd.,",Indiranagar,+91 080 80 2535 7161
Standard Chartered Grindlays,M G Road,
Starbees Technologies Inc.,B.T.M. Layout,+91 080 26682134
StarFlow Software,R.T Nagar,+91-080-23653134
Starminds Solutions Pvt. Ltd.,HSR Layout,"+91 080 25724610, +91 080 25724716"
Startrek Computers,Vasanthnagar,"+91 080 22386806, +91 080 22386807"
Startronix Modular Systems Pvt. Ltd.,N.R.Road,"+91 080 22223103, +91 080 22273455"
STC Technologies,Indiranagar,+91 080 25212758
